date,hour,PlayStation5,PlayStation5 DE,XboxSX,XboxSS,Switchグレー,Switchネオン,SwitchLiteターコイズ
2021年08月14日,19時,"84,100円","71,500円","66,500円","36,000円","32,900円","32,000円","19,100円"
2021年08月14日,20時,"84,100円","71,500円","66,500円","36,000円","32,900円","32,000円","19,100円"
2021年08月14日,21時,"84,100円","71,500円","66,500円","36,000円","32,900円","32,000円","19,100円"
2021年08月14日,22時,"84,100円","71,500円","66,500円","36,000円","32,900円","32,000円","19,100円"
2021年08月14日,23時,"84,100円","71,500円","66,500円","36,000円","32,900円","32,000円","19,100円"
2021年08月15日,00時,"84,100円","71,500円","66,500円","36,000円","32,900円","32,000円","19,100円"
2021年08月15日,01時,"84,100円","71,500円","66,500円","36,000円","32,900円","32,000円","19,100円"
2021年08月15日,02時,"84,100円","71,500円","66,500円","36,000円","32,900円","32,000円","19,100円"
2021年08月15日,03時,"84,100円","71,500円","66,500円","36,000円","32,900円","32,000円","19,100円"
2021年08月15日,04時,"84,100円","71,500円","66,500円","36,000円","32,900円","32,000円","19,100円"
2021年08月15日,05時,"84,100円","71,500円","66,500円","36,000円","32,900円","32,000円","19,100円"
2021年08月15日,06時,"84,100円","71,500円","66,500円","36,000円","32,900円","32,000円","19,100円"
2021年08月15日,07時,"84,100円","71,500円","66,500円","36,000円","32,900円","32,000円","19,100円"
2021年08月15日,08時,"84,100円","71,500円","66,500円","36,000円","32,900円","32,000円","19,100円"
2021年08月15日,09時,"84,100円","71,500円","66,500円","36,000円","32,900円","32,000円","19,100円"
2021年08月15日,10時,"84,100円","71,500円","66,500円","36,000円","32,900円","32,000円","19,100円"
2021年08月15日,11時,"84,100円","71,500円","66,500円","36,000円","32,900円","32,000円","19,100円"
2021年08月15日,12時,"84,100円","71,500円","66,500円","36,000円","32,900円","32,000円","19,100円"
2021年08月15日,13時,"84,100円","71,500円","66,500円","36,000円","32,900円","32,000円","19,100円"
2021年08月15日,14時,"84,100円","71,500円","66,500円","36,000円","32,900円","32,000円","19,100円"
2021年08月15日,15時,"84,100円","71,500円","66,500円","36,000円","32,900円","32,000円","19,100円"
2021年08月15日,16時,"84,100円","71,500円","66,500円","36,000円","32,900円","32,000円","19,100円"
2021年08月15日,17時,"84,100円","71,500円","66,500円","36,000円","32,900円","32,000円","19,100円"
2021年08月15日,18時,"84,100円","71,500円","66,500円","36,000円","32,900円","32,000円","19,100円"
2021年08月15日,19時,"84,100円","71,500円","66,500円","36,000円","32,900円","32,000円","19,100円"
2021年08月15日,20時,"84,100円","71,500円","66,500円","36,000円","32,900円","32,000円","19,100円"
